Patch_ID,Sheet,Cell_or_Range,Current_Value_or_Formula,Proposed_Value_or_Formula,Change_Type,Source_Path_or_URL,Source_Hash,Source_Page_or_Image,Exact_Excerpt,Confidence,Formula_Impact,Reconciliation_Impact,Address_Type,Reason,Risk,Decision
P-024,Title,Title!89 — Assumptions & Notes cell,Vested: DECR 312/700-704; EST.\*,Vested: DECR 312/700-704; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-025,Title,Title!90 — Assumptions & Notes cell,Vested: MD 89/424; EST.\*,Vested: MD 89/424; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-026,Title,Title!91 — Assumptions & Notes cell,Vested: MD 85/363; EST.\*,Vested: MD 85/363; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-027,Title,Title!92 — Assumptions & Notes cell,Vested: MD 89/245; EST.\*,Vested: MD 89/245; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-028,Title,Title!93 — Assumptions & Notes cell,Vested: MD 1287/42; EST.\*,Vested: MD 1287/42; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-029,Title,Title!94 — Assumptions & Notes cell,Vested: MD 89/428; EST.\*,Vested: MD 89/428; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-030,Title,Title!95 — Assumptions & Notes cell,Vested: MD 89/426; EST.\*,Vested: MD 89/426; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-031,Title,Title!96 — Assumptions & Notes cell,Vested: MD 85/364; EST.\*,Vested: MD 85/364; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-032,Title,Title!97 — Assumptions & Notes cell,Vested: ORDER 311/817-828; EST.\*,Vested: ORDER 311/817-828; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-033,Title,Title!98 — Assumptions & Notes cell,Vested: MD 85/366; EST.\*,Vested: MD 85/366; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
